repo_name,has_codeowners,codeowners_created_at,owners_count
leandrohstein/transporteservico-urbs-data,False,,0
google-test/signclav2-probe-repo,False,,0
trunk-io/mergequeue,False,,0
prawn-test-staging-rw/mergequeue_service_test_commit_status,False,,0
mhutchinson/mhutchinson-distributor,False,,0
MetaMask/eth-phishing-detect,True,2021-05-27T17:36:16+00:00,4
actions-canary/ForkPRCanary,False,,0
Nix-Drone/mergequeue-github,False,,0
NixOS/nixpkgs,False,,0
WolseyBankWitness/rediffusion,False,,0
microsoft/winget-pkgs,True,2024-03-15T23:39:38+00:00,2
prawn-test-staging-rw/mg-service-test,False,,0
prawn-test-production-rw/mg-service-test,False,,0
Homebrew/homebrew-core,True,2020-05-05T08:50:29+00:00,4
deepsourcestatus/test-repository,False,,0
trunk-io/mergequeue-staging,False,,0
RishabhGupta34/gitX_Harness,False,,0
GuruCICDCanary-Beta/CICDCanary,False,,0
GuruCICDCanary-Prod-Release/CICDCanary,False,,0
GuruCICDCanary-Prod/CICDCanary,False,,0
openshift-helm-charts/sandbox,False,,0
Homebrew/homebrew-cask,False,,0
llvm/llvm-project,True,2025-09-22T09:35:06+00:00,48
odoo/odoo,False,,0
digitalinnovationone/dio-lab-open-source,False,,0
wolfi-dev/os,True,2022-11-22T20:52:12+00:00,3
JuliaRegistries/General,True,2021-05-18T00:30:40+00:00,5
aws-aemilia-sin/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-southeast-1,False,,0
aws-aemilia-syd/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-southeast-2,False,,0
aws-aemilia-sin/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-southeast-1,False,,0
scalr-automation/terraform-scalr-flat-mirror4,False,,0
aws-aemilia-bom/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-south-1,False,,0
aws-aemilia-bah/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-me-south-1,False,,0
aws-aemilia-syd/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-southeast-2,False,,0
aws-aemilia-icn/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-northeast-2,False,,0
aws-aemilia-kix/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-northeast-3,False,,0
aws-aemilia-bah/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-me-south-1,False,,0
aws-aemilia-kix/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-northeast-3,False,,0
aws-aemilia-nrt/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-northeast-1,False,,0
aws-aemilia-bom/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-ap-south-1,False,,0
aws-aemilia-icn/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-northeast-2,False,,0
aws-aemilia-gru/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-sa-east-1,False,,0
aws-aemilia-nrt/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-northeast-1,False,,0
aws-aemilia-gru/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-sa-east-1,False,,0
aws-aemilia-arn/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-north-1,False,,0
aws-aemilia-arn/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-eu-north-1,False,,0
aws-aemilia-mxp/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-eu-south-1,False,,0
aws-aemilia-cdg/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-west-3,False,,0
aws-aemilia-mxp/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-south-1,False,,0
aws-aemilia-sfo/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-us-west-1,False,,0
aws-aemilia-cdg/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-eu-west-3,False,,0
scalr-automation/terraform-scalr-flat-mirror5,False,,0
aws-aemilia-lhr/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-west-2,False,,0
aws-aemilia-sfo/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-us-west-1,False,,0
aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-beta-us-west-2,False,,0
aws-aemilia-fra/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-central-1,False,,0
aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-us-west-2,False,,0
aws-aemilia-lhr/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-eu-west-2,False,,0
aws-aemilia-dub/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-eu-west-1,False,,0
aws-aemilia-dub/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-eu-west-1,False,,0
aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-gamma-us-west-2,False,,0
aws-aemilia-fra/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-eu-central-1,False,,0
aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-us-west-2,False,,0
aws-aemilia-yul/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ca-central-1,False,,0
aws-aemilia-yul/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ca-central-1,False,,0
aws-aemilia-cmh/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-us-east-2,False,,0
aws-aemilia-cmh/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-us-east-2,False,,0
scalr-automation/terraform-scalr-flat-mirror3,False,,0
bitnami/containers,False,,0
mergifyio-testing/functional-testing-repo-Greesb,False,,0
aws-aemilia-iad/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-gamma-us-east-1,False,,0
aws-aemilia-iad/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-us-east-1,False,,0
aws-aemilia-iad/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-us-east-1,False,,0
scalr-automation/terraform-scalr-flat,False,,0
scalr-automation/terraform-scalr-flat-mirror2,False,,0
scalr-automation/terraform-scalr-flat-mirror1,False,,0
pytorch/pytorch,True,2018-04-04T17:18:00+00:00,59
amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v1-prod-ap-east-1,False,,0
amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-preprod-ap-east-1,False,,0
elastic/kibana,True,2018-09-14T18:46:03+00:00,67
hmrc/build-and-deploy-canary-service,False,,0
aelmanaa/cl-docs,False,,0
StarRocks/starrocks,True,2022-06-25T03:52:11+00:00,21
home-assistant/core,True,2017-07-07T18:40:04+00:00,628
openshift/openshift-docs,True,2021-02-11T05:09:31+00:00,15
tensorflow/tensorflow,True,2017-07-13T21:51:47+00:00,10
prawn-test-staging-rw/check-web,False,,0
apache/doris,True,2024-06-26T06:59:19+00:00,12
WebKit/WebKit,True,2022-06-07T15:40:54+00:00,39
getsentry/sentry,True,2019-03-11T22:03:57+00:00,51
airbytehq/airbyte,True,2022-02-11T16:11:11+00:00,5
3bsalam-1/3bsalam-1,False,,0
firstcontributions/first-contributions,False,,0
karnotxyz/avail-campaign-listing,False,,0
redhat-appstudio-qe/sample-multi-component,False,,0
3bsalam-1/MountainCar,False,,0
ibm-developer-skills-network/jbbmo-Introduction-to-Git-and-GitHub,False,,0
SabreOSS/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,125
openshift/release,False,,0
grafana/grafana,True,2019-12-11T21:34:32+00:00,59
openshift-cnv/cnv-fbc,False,,0
redhat-appstudio-qe/devfile-sample-hello-world,False,,0
redhat-appstudio-qe/hacbs-test-project,False,,0
dipper-github-preprod/report-individual-builds-batch-list,False,,0
coralogix/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,119
brianchandotcom/liferay-portal,True,2025-09-08T12:11:53+00:00,14
openxla/xla,False,,0
zephyrproject-rtos/zephyr,True,2017-07-07T13:56:05+00:00,0
aquaproj/aqua-registry,False,,0
CorporationX/god_bless,False,,0
demisto/dockerfiles,True,2020-10-14T09:31:19+00:00,3
elastic/elasticsearch,True,2022-07-22T09:41:49+00:00,9
kovrus/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,124
blimpup/malcolm-testing-repo,False,,0
3bsalam-1/Arabic-OCR,False,,0
ClickHouse/ClickHouse,True,2019-10-21T16:40:19+00:00,0
gravitational/teleport,True,2020-03-11T15:35:34+00:00,17
coinhall/yacar,False,,0
cockroachdb/cockroach,True,2017-07-28T12:49:47+00:00,26
redhat-appstudio-qe/build-nudge-child,False,,0
pcwiese/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,134
eiriksm/musical-octo-doodle,False,,0
rust-lang/rust,False,,0
MrAlias/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,155
DataDog/datadog-agent,True,2017-11-13T09:57:05+00:00,45
leanprover-community/mathlib4,False,,0
truecharts/charts,True,2020-12-31T11:47:56+00:00,7
philchia/opentelemetry-collector-contrib,True,2020-06-06T18:21:51+00:00,135
wolfi-dev/advisories,False,,0
python/cpython,True,2017-08-01T03:56:12+00:00,59
X-oss-byte/gatsby,True,2020-12-01T13:06:49+00:00,4
PaddlePaddle/Paddle,True,2024-04-23T06:24:55+00:00,30
trunk-io/flake-factory,True,2024-08-14T21:23:37+00:00,19
ydb-platform/ydb,True,2024-01-12T12:15:29+00:00,16
ministryofjustice/cloud-platform-environments,True,2019-08-19T15:50:00+00:00,2
redhat-appstudio-qe/hacbs-test-project-integration,False,,0
Yawn-Sean/Daily_CF_Problems,False,,0
